                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0701,                 1.2142,                 1.1349,                0.56828,                0.68923,                0.48994,                0.31473,                  1.301,                 1.4783,                 1.2667,               0.006733,               0.006733,               0.006733
                     35,                 1.0777,                 1.2224,                 1.1381,                0.45008,                0.70887,                0.48827,                0.31463,                    1.3,                 1.4573,                 1.2557,               0.006634,               0.006634,               0.006634
                     36,                 1.0807,                 1.2329,                 1.1364,                0.47991,                0.61376,                0.48437,                0.32027,                 1.2776,                 1.6602,                 1.2461,               0.006535,               0.006535,               0.006535
                     37,                 1.0794,                 1.2334,                 1.1322,                0.46751,                0.72253,                0.50998,                0.32943,                 1.2831,                 1.4013,                 1.2398,               0.006436,               0.006436,               0.006436
                     38,                 1.0902,                  1.232,                 1.1315,                0.54472,                0.71271,                0.49928,                0.33792,                 1.2141,                 1.4014,                 1.2081,               0.006337,               0.006337,               0.006337
                     39,                  1.069,                 1.2124,                 1.1336,                 0.4336,                0.73585,                0.51109,                0.35097,                 1.1942,                 1.4072,                 1.1849,               0.006238,               0.006238,               0.006238
                     40,                  1.035,                 1.1504,                 1.1085,                0.44282,                0.74865,                 0.4873,                0.32018,                 1.2414,                 1.3799,                 1.2229,               0.006139,               0.006139,               0.006139
                     41,                 1.0917,                 1.1765,                 1.1349,                0.45558,                0.74621,                0.51056,                0.32958,                 1.2839,                 1.3842,                 1.2489,                0.00604,                0.00604,                0.00604
                     42,                 1.0735,                 1.1743,                 1.1428,                0.48152,                0.71377,                0.52604,                0.35036,                 1.2184,                 1.3449,                 1.2211,               0.005941,               0.005941,               0.005941
                     43,                 1.0394,                 1.1741,                 1.1163,                0.46734,                0.73103,                0.53342,                0.35715,                 1.2018,                 1.2941,                  1.213,               0.005842,               0.005842,               0.005842
                     44,                 1.0534,                 1.1682,                 1.1287,                 0.4449,                0.76099,                0.51835,                0.35076,                 1.2184,                 1.3294,                 1.2042,               0.005743,               0.005743,               0.005743
                     45,                 1.0547,                 1.1232,                   1.12,                0.44033,                0.74403,                0.51568,                0.35567,                 1.1937,                 1.2861,                 1.1978,               0.005644,               0.005644,               0.005644
                     46,                  1.018,                 1.1412,                 1.1288,                0.40801,                0.76497,                0.49986,                0.34548,                 1.1949,                 1.2897,                 1.1906,               0.005545,               0.005545,               0.005545
                     47,                 1.0287,                 1.1208,                 1.1111,                0.56332,                0.69595,                0.51974,                0.35281,                 1.2115,                 1.3191,                 1.1983,               0.005446,               0.005446,               0.005446
